grade;standard;manufacturer;country;source;analogues;c;cr;mo;v;w;co;ni;mn;si;s;p;cu;nb;n;tech
ORVAR SUPERIOR;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv;1.2344;0,39;5,20;1,40;0,95;;;;0,40;1,00;;;;;;
W350 ISOBLOC;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv;1.2343;0,38;5,00;1,75;0,55;;;;0,55;0,21;;;;;;+N
QRO 90 SUPREME/ QRO 90 HT;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv;;0,38;2,60;2,25;0,90;;;;0,75;0,30;;;;;;
HWS Supreme;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv;;0,31;5,00;1,75;1,05;;;0,30;0,25;0,30;;;;;;
W303 ISODISC;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv;ExStahl SuperClean|1.2367;0,38;5,00;2,80;0,55;;;;0,40;0,40;;;;;;
ExStahl SuperClean;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv;W303 ISODISC|1.2367;0,38;5,00;2,80;0,55;;;;0,40;0,40;;;;;;
1.2367;EN, Европа;;Европа;csv:Марки ВЭМ.csv;W303 ISODISC|ExStahl SuperClean;0,38;5,00;2,80;0,55;;;;0,40;0,40;;;;;;
FORMVAR (DIEVAR);Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv;1.2367;0,35;5,00;2,30;0,53;;;0,04;0,50;0,21;;;;;;
DIEVAR;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv;1.2367;0,35;5,00;2,30;0,60;;;;0,50;0,20;;;;;;
W403 VMR;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv;1.2367;0,38;5,00;2,80;0,65;;;;0,25;0,20;;;;;;
UNIMAX;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv;;0,50;5,00;2,30;0,50;;;;0,50;0,20;;;;;;
W360 ISOBLOC;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv;HWR MAX;0,50;5,00;3,00;0,55;;;;0,30;0,20;;;;;;
HWR MAX;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv;W360 ISOBLOC;0,50;5,00;3,00;0,55;;;;0,30;0,20;;;;;;
W100;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv;1.2581;0,29;2,70;;0,35;8,50;;;0,30;0,25;;;;;;
1.2581;EN, Европа;;Европа;csv:Марки ВЭМ.csv;W100;0,29;2,70;;0,35;8,50;;;0,30;0,25;;;;;;
SR 1855;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv;1.2108;1,0;1,0;;;;;;0,8;1,5;;;;;;
К245;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv;1.2101;0,63;0,6;;;;;;1,1;1,1;;;;;;
CALMAX / CARMO;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv;1.2358;0,6;4,5;0,5;0,2;;;;0,8;0,35;;;;;;
К329;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv;CHIPPER, VIKING|1.2631;0,52;8,0;1,4;0,45;;;;0,4;0,95;;;;;;
CHIPPER, VIKING;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv;К329|1.2631;0,52;8,0;1,4;0,45;;;;0,4;0,95;;;;;;
2842;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv;K720|1.2842;0,9;0,35;;0,1;;;;2,0;0,25;;;;;;
ARNE;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv;K460|2510|1.2510;0,95;0,6;;0,1;0,6;;;1,1;0,3;;;;;;
2510;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv;K460|ARNE|1.2510;0,95;0,6;;0,1;0,6;;;1,1;0,3;;;;;;
RIGOR;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv;K305|2363 ISO-B|1.2363;1,0;5,3;1,1;0,2;;;;0,6;0,3;;;;;;
2363 ISO-B;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv;K305|RIGOR|1.2363;1,0;5,3;1,1;0,2;;;;0,6;0,3;;;;;;
2080;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv;K100|1.2080;2,0;11,5;;;;;;0,4;0,3;;;;;;
К105;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv;2601|1.2601;1,6;11,5;0,6;0,3;0,5;;;0,3;0,35;;;;;;
К107;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv;SVERKER 3|2436 ISO-B|1.2436;2,1;12;;;1;;;0,6;0,3;;;;;;
SVERKER 3;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv;К107|2436 ISO-B|1.2436;2,1;12;;;1;;;0,6;0,3;;;;;;
2436 ISO-B;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv;К107|SVERKER 3|1.2436;2,1;12;;;1;;;0,6;0,3;;;;;;
К110;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv;SVERKER 21|2379 ISO-B|1.2379;1,55;11,5;0,8;0,8;;;;0,4;0,3;;;;;;
