grade;standard;manufacturer;country;source
201;AISI, США;;США;csv:Аустенитные стали.csv
S20100;UNS, США;;США;csv:Аустенитные стали.csv
1.4372;EN, Европа;;Европа;csv:Аустенитные стали.csv
202;AISI, США;;США;csv:Аустенитные стали.csv
S20200;UNS, США;;США;csv:Аустенитные стали.csv
1.4373;EN, Европа;;Европа;csv:Аустенитные стали.csv
1.4319;EN, Европа;;Европа;csv:Аустенитные стали.csv
302B;AISI, США;;США;csv:Аустенитные стали.csv
S30215;UNS, США;;США;csv:Аустенитные стали.csv
303Se;AISI, США;;США;csv:Аустенитные стали.csv
S30323;UNS, США;;США;csv:Аустенитные стали.csv
304H;AISI, США;;США;csv:Аустенитные стали.csv
S30409;UNS, США;;США;csv:Аустенитные стали.csv
1.4948;EN, Европа;;Европа;csv:Аустенитные стали.csv
304L;AISI, США;;США;csv:Аустенитные стали.csv
S30403;UNS, США;;США;csv:Аустенитные стали.csv
1.4306;EN, Европа;;Европа;csv:Аустенитные стали.csv
304LN;AISI, США;;США;csv:Аустенитные стали.csv
S30453;UNS, США;;США;csv:Аустенитные стали.csv
1.4311;EN, Европа;;Европа;csv:Аустенитные стали.csv
304N;AISI, США;;США;csv:Аустенитные стали.csv
S30451;UNS, США;;США;csv:Аустенитные стали.csv
305;AISI, США;;США;csv:Аустенитные стали.csv
S30500;UNS, США;;США;csv:Аустенитные стали.csv
1.4303;EN, Европа;;Европа;csv:Аустенитные стали.csv
308;AISI, США;;США;csv:Аустенитные стали.csv
S30800;UNS, США;;США;csv:Аустенитные стали.csv
Alleima® 253 MA;AISI, США;;США;csv:Аустенитные стали.csv
S30815;UNS, США;;США;csv:Аустенитные стали.csv
1.4835;EN, Европа;;Европа;csv:Аустенитные стали.csv
309;AISI, США;;США;csv:Аустенитные стали.csv
S30900;UNS, США;;США;csv:Аустенитные стали.csv
1.4828;EN, Европа;;Европа;csv:Аустенитные стали.csv
309S;AISI, США;;США;csv:Аустенитные стали.csv
S30908;UNS, США;;США;csv:Аустенитные стали.csv
1.4833;EN, Европа;;Европа;csv:Аустенитные стали.csv
310;AISI, США;;США;csv:Аустенитные стали.csv
S31000;UNS, США;;США;csv:Аустенитные стали.csv
1.4845;EN, Европа;;Европа;csv:Аустенитные стали.csv
Alleima® 2RE10;AISI, США;;США;csv:Аустенитные стали.csv
S31002;UNS, США;;США;csv:Аустенитные стали.csv
1.4333;EN, Европа;;Европа;csv:Аустенитные стали.csv
"310S
Alleima® 7RE10";AISI, США;;США;csv:Аустенитные стали.csv
S31008;UNS, США;;США;csv:Аустенитные стали.csv
Alleima® 2RE69;AISI, США;;США;csv:Аустенитные стали.csv
S31050;UNS, США;;США;csv:Аустенитные стали.csv
1.4541;EN, Европа;;Европа;csv:Аустенитные стали.csv
314;AISI, США;;США;csv:Аустенитные стали.csv
S31400;UNS, США;;США;csv:Аустенитные стали.csv
316H;AISI, США;;США;csv:Аустенитные стали.csv
S31609;UNS, США;;США;csv:Аустенитные стали.csv
317;AISI, США;;США;csv:Аустенитные стали.csv
S31700;UNS, США;;США;csv:Аустенитные стали.csv
317L;AISI, США;;США;csv:Аустенитные стали.csv
S31703;UNS, США;;США;csv:Аустенитные стали.csv
1.4438;EN, Европа;;Европа;csv:Аустенитные стали.csv
