grade;link;db_standard;expected_standard;standard_expected_source;cc;country_cc;country_card;maker_card;maker_table;status
GN;https://zknives.com/knives/steels/gn.shtml;zknives.com, Международная база;"Samuel Osborn &amp; Co, Словения";card_maker;SI;Словения;Великобритания;"Samuel Osborn &amp; Co";Metal Ravne;placeholder
KEA180;https://zknives.com/knives/steels/kea180.shtml;zknives.com, Международная база;Sanderson Kayser, Словения;card_maker;SI;Словения;Великобритания;Sanderson Kayser;Metal Ravne;placeholder
QC11;https://zknives.com/knives/steels/qc11.shtml;zknives.com, Международная база;Sanyo, Словения;card_maker;SI;Словения;Япония;Sanyo;Metal Ravne;placeholder
QCD2;https://zknives.com/knives/steels/qcd2.shtml;zknives.com, Международная база;Sanyo, Словения;card_maker;SI;Словения;Япония;Sanyo;Metal Ravne;placeholder
QCM7;https://zknives.com/knives/steels/qcm7.shtml;zknives.com, Международная база;Sanyo, Словения;card_maker;SI;Словения;Япония;Sanyo;Metal Ravne;placeholder
Noresco Dominator VM;https://zknives.com/knives/steels/noresco_dominator_vm.shtml;zknives.com, Международная база;Metal Ravne, Словения;table_maker;SI;Словения;Великобритания;;Metal Ravne;placeholder
RCC Supra;https://zknives.com/knives/steels/rcc_supra.shtml;zknives.com, Международная база;Secosar, Словения;card_maker;SI;Словения;Франция;Secosar;Metal Ravne;placeholder
SIHard 2379;https://zknives.com/knives/steels/sihard_2379.shtml;zknives.com, Международная база;SIJ Metal Ravne D.O.O., Словения;card_maker;SI;Словения;Словения;SIJ Metal Ravne D.O.O.;Metal Ravne;placeholder
CCM;https://zknives.com/knives/steels/ccm.shtml;zknives.com, Международная база;Simonds, Словения;card_maker;SI;Словения;США;Simonds;Metal Ravne;placeholder
CS13M Extra;https://zknives.com/knives/steels/cs13m_extra.shtml;zknives.com, Международная база;Metal Ravne, Словения;table_maker;SI;Словения;США;;Metal Ravne;placeholder
Store364;https://zknives.com/knives/steels/store364.shtml;zknives.com, Международная база;Metal Ravne, Словения;table_maker;SI;Словения;Великобритания;;Metal Ravne;placeholder
Thyrodur2379;https://zknives.com/knives/steels/thyrodur2379.shtml;zknives.com, Международная база;Thyssen-Krupp, Словения;card_maker;SI;Словения;Германия;Thyssen-Krupp;Metal Ravne;placeholder
2379;https://zknives.com/knives/steels/2379.shtml;AISI, США;Thyssen-Krupp, Словения;card_maker;SI;Словения;Германия;Thyssen-Krupp;Metal Ravne;mismatch
Ultradie 2;https://zknives.com/knives/steels/ultradie_2.shtml;zknives.com, Международная база;Universal Cyclops, Словения;card_maker;SI;Словения;США;Universal Cyclops;Metal Ravne;placeholder
Ultradie 3;https://zknives.com/knives/steels/ultradie_3.shtml;zknives.com, Международная база;Universal Cyclops, Словения;card_maker;SI;Словения;США;Universal Cyclops;Metal Ravne;placeholder
Ohio Die;https://zknives.com/knives/steels/ohio_die.shtml;zknives.com, Международная база;Vasco Metal, Словения;card_maker;SI;Словения;США;Vasco Metal;Metal Ravne;placeholder
VD2;https://zknives.com/knives/steels/vd2.shtml;zknives.com, Международная база;Villares Metals, Словения;card_maker;SI;Словения;Бразилия;Villares Metals;Metal Ravne;placeholder
Somcold;https://zknives.com/knives/steels/somcold.shtml;zknives.com, Международная база;Walter Somers, Словения;card_maker;SI;Словения;Великобритания;Walter Somers;Metal Ravne;placeholder
Weld Mold 938;https://zknives.com/knives/steels/weld_mold_938.shtml;zknives.com, Международная база;Weld Mold, Словения;card_maker;SI;Словения;США;Weld Mold;Metal Ravne;placeholder
WCR79;https://zknives.com/knives/steels/wcr79.shtml;zknives.com, Международная база;WSM Werkzeugstahl, Словения;card_maker;SI;Словения;Германия;WSM Werkzeugstahl;Metal Ravne;placeholder
LC120S;https://zknives.com/knives/steels/lc120s.shtml;zknives.com, Международная база;Zapp, Словения;card_maker;SI;Словения;Германия;Zapp;Metal Ravne;placeholder
Darwin #1;https://zknives.com/knives/steels/darwin_!1.shtml;zknives.com, Международная база;Metal Ravne, Словения;table_maker;SI;Словения;США;;Metal Ravne;placeholder
D3;https://zknives.com/knives/steels/d3.shtml;zknives.com, Международная база;Ossenberg, Германия;table_maker;DE;Германия;США;;Ossenberg;placeholder
X210Cr12;https://zknives.com/knives/steels/x210cr12.shtml;DIN, Германия;Ossenberg, Германия;table_maker;DE;Германия;Германия;;Ossenberg;mismatch
1.2080;https://zknives.com/knives/steels/1.2080.shtml;EN, Европа;W-Nr, Германия;card_maker;DE;Германия;Германия;W-Nr;Ossenberg;mismatch
SKD1;https://zknives.com/knives/steels/skd1.shtml;JIS, Япония;Ossenberg, Германия;table_maker;DE;Германия;Япония;;Ossenberg;mismatch
Z200C12;https://zknives.com/knives/steels/z200c12.shtml;zknives.com, Международная база;Ossenberg, Германия;table_maker;DE;Германия;Франция;;Ossenberg;placeholder
Z20012C;https://zknives.com/knives/steels/z20012c.shtml;UNS, США;Ossenberg, Германия;table_maker;DE;Германия;Франция;;Ossenberg;mismatch
X200CM2;https://zknives.com/knives/steels/x200cm2.shtml;DIN, Германия;Ossenberg, Германия;table_maker;DE;Германия;Франция;;Ossenberg;mismatch
X200Cr12;https://zknives.com/knives/steels/x200cr12.shtml;DIN, Германия;Ossenberg, Германия;table_maker;DE;Германия;Франция;;Ossenberg;mismatch
X200C12;https://zknives.com/knives/steels/x200c12.shtml;DIN, Германия;Ossenberg, Германия;table_maker;DE;Германия;Франция;;Ossenberg;mismatch
BD3;https://zknives.com/knives/steels/bd3.shtml;zknives.com, Международная база;Ossenberg, Германия;table_maker;DE;Германия;Великобритания;;Ossenberg;placeholder
X205Cr12KU;https://zknives.com/knives/steels/x205cr12ku.shtml;DIN, Германия;Ossenberg, Германия;table_maker;DE;Германия;Италия;;Ossenberg;mismatch
