grade;standard;manufacturer;country;source;c;cr;mo;v;w;co;ni;mn;si;s;p;cu;nb;n;tech
R12F3S12-1-2;;;Россия;marki_stalei_check;0,95-1,05;;;2,50-3,00;12,00-13,00;;;;;0,03;0,03;;;0;
1.2008140Cr3;;;Германия;marki_stalei_check;1,35-1,50;;;0;0;;;;;0,035;0,035;;;0;
S1801T1;;;Германия;marki_stalei_check;1;;;1,1;19;;;;;;;;;0;
B18T1;;;Великобритания;marki_stalei_check;0,81;;;1,07;18,25;;;;;0,003;0,024;;;0;
T12001T1;;;США;marki_stalei_check;0,65-0,80;;;0,90-1,30;17,25-18,75;;;;;0,03;0,03;;;0;
S43400434;;;США;marki_stalei_check;0,12;;;0;0;;;;;0,03;0,035;;;0;
SUP69260;;;Япония;marki_stalei_check;0,56-0,64;;;0;0;;;;;0,000-0,030;0,000-0,030;;;0;
60C2A9260;;;Россия;marki_stalei_check;0,58-0,63;;;0;0;;;;;0,000-0,025;0,000-0,025;;;0;
60C29260;;;Россия;marki_stalei_check;0,57-0,65;;;0;0;;;;;0,000-0,025;0,000-0,025;;;0;
3Cr13X40Cr13;;;Китай;marki_stalei_check;0,26-0,35;;;0;0;;;;;0,03;0,04;;;0;
S30100301;;;США;marki_stalei_check;0,15;;;0;0;;;;;0,03;0,045;;;0;
S30200302;;;США;marki_stalei_check;0,15;;;0;0;;;;;0,03;0,045;;;0;
S30300303;;;США;marki_stalei_check;0,15;;;0;0;;;;;0,03;0,045;;;0;
S31603316L;;;США;marki_stalei_check;0,03;;;0;0;;;;;0,03;0,045;;;0;
G414204142;;;США;marki_stalei_check;0,40-0,45;;;0;0;;;;;0,04;0,03;;;0;
S41000410;;;США;marki_stalei_check;0,09-0,15;;;0;0;;;;;0,03;0,04;;;0;
G414504145;;;США;marki_stalei_check;0,43-0,48;;;0;0;;;;;0,04;0,03;;;0;
G414004140;;;США;marki_stalei_check;0,38-0,43;;;0;0;;;;;0,04;0,035;;;0;
S41600416;;;США;marki_stalei_check;0,09-0,15;;;0;0;;;;;0,15-0,35;0,06;;;0;
NitroBNitro-B;Buderus Edelstahlwerke, Германия;Buderus Edelstahlwerke;Германия;marki_stalei_check;0,55;;;0,1;0;;;;;;;;;0,21;
1Cr17430;;;Китай;marki_stalei_check;0,12;;;0;0;;;;;0,03;0,04;;;0;
10Cr17430;;;Китай;marki_stalei_check;0,12;;;0;0;;;;;0,03;0,04;;;0;
S43000430;;;США;marki_stalei_check;0,12;;;0;0;;;;;0,03;0,04;;;0;
