link,title,maker,country,cc,country_raw
https://zknives.com/knives/steels/s111.shtml,"MSZ S111 Knife SteelComposition Analysis Graph, Equivalents And Overview",MSZ,Hungary,HU,Hungary(HU)
https://zknives.com/knives/steels/s12-1-2-3.shtml,"DIN S12-1-2-3 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Германия,DE,Germany(DE)
https://zknives.com/knives/steels/s112.shtml,"MSZ S112 Knife SteelComposition Analysis Graph, Equivalents And Overview",MSZ,Hungary,HU,Hungary(HU)
https://zknives.com/knives/steels/s12-1-2.shtml,"DIN S12-1-2 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Германия,DE,Germany(DE)
https://zknives.com/knives/steels/s121.shtml,"MSZ S121 Knife SteelComposition Analysis Graph, Equivalents And Overview",MSZ,Hungary,HU,Hungary(HU)
https://zknives.com/knives/steels/s1214.shtml,"DIN S1214 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Германия,DE,Germany(DE)
https://zknives.com/knives/steels/s12-1-4-5.shtml,"DIN S12-1-4-5 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Германия,DE,Germany(DE)
https://zknives.com/knives/steels/s131.shtml,"MSZ S131 Knife SteelComposition Analysis Graph, Equivalents And Overview",MSZ,Hungary,HU,Hungary(HU)
https://zknives.com/knives/steels/s125v.shtml,"Crucible S125V Knife SteelComposition Analysis Graph, Equivalents And Overview",Crucible,США,US,United States(US)
https://zknives.com/knives/steels/s122.shtml,"MSZ S122 Knife SteelComposition Analysis Graph, Equivalents And Overview",MSZ,Hungary,HU,Hungary(HU)
https://zknives.com/knives/steels/s17700.shtml,"UNS S17700 Knife SteelComposition Analysis Graph, Equivalents And Overview",,США,US,United States(US)
https://zknives.com/knives/steels/s132.shtml,"MSZ S132 Knife SteelComposition Analysis Graph, Equivalents And Overview",MSZ,Hungary,HU,Hungary(HU)
https://zknives.com/knives/steels/s18-1-2-1-5.shtml,"DIN S18-1-2-1-5 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Германия,DE,Germany(DE)
https://zknives.com/knives/steels/s18-0-1.shtml,"Stahl Eisen S18-0-1 Knife SteelComposition Analysis Graph, Equivalents And Overview",Stahl Eisen,Германия,DE,Germany(DE)
https://zknives.com/knives/steels/s18-1-2-18.shtml,"DIN S18-1-2-18 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Германия,DE,Germany(DE)
https://zknives.com/knives/steels/s18-1-2-5.shtml,"DIN S18-1-2-5 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Германия,DE,Germany(DE)
https://zknives.com/knives/steels/s1801.shtml,"DIN S1801 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Германия,DE,Germany(DE)
https://zknives.com/knives/steels/s2-1-1-8.shtml,"DIN S2-1-1-8 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Германия,DE,Germany(DE)
https://zknives.com/knives/steels/s2-10-1-8.shtml,"DIN S2-10-1-8 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Германия,DE,Germany(DE)
https://zknives.com/knives/steels/s2-5-1-2.shtml,"DIN S2-5-1-2 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Германия,DE,Germany(DE)
https://zknives.com/knives/steels/s2-9-2-8.shtml,"DIN S2-9-2-8 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Германия,DE,Germany(DE)
https://zknives.com/knives/steels/s2-9-2.shtml,"DIN S2-9-2 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Германия,DE,Germany(DE)
https://zknives.com/knives/steels/s2.shtml,"AISI S2 Knife SteelComposition Analysis Graph, Equivalents And Overview",,США,US,United States(US)
https://zknives.com/knives/steels/s200.shtml,"Bohler-Uddeholm S200 Knife SteelComposition Analysis Graph, Equivalents And Overview",Bohler-Uddeholm,Швеция,SE,Sweden(SE)
https://zknives.com/knives/steels/s207.shtml,"Bohler-Uddeholm S207 Knife SteelComposition Analysis Graph, Equivalents And Overview",Bohler-Uddeholm,Швеция,SW,(SW)
https://zknives.com/knives/steels/s20c.shtml,"JIS S20C Knife SteelComposition Analysis Graph, Equivalents And Overview",,Япония,JP,Japan(JP)
https://zknives.com/knives/steels/s22c.shtml,"JIS S22C Knife SteelComposition Analysis Graph, Equivalents And Overview",,Япония,JP,Japan(JP)
https://zknives.com/knives/steels/s290.shtml,"Bohler-Uddeholm S290 Knife SteelComposition Analysis Graph, Equivalents And Overview",Bohler-Uddeholm,Швеция,SE,Sweden(SE)
https://zknives.com/knives/steels/s290_microclean.shtml,"Bohler-Uddeholm S290 MICROCLEAN Knife SteelComposition Analysis Graph, Equivalents And Overview",Bohler-Uddeholm,Швеция,SE,Sweden(SE)
https://zknives.com/knives/steels/s3-3-2.shtml,"DIN S3-3-2 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Германия,DE,Germany(DE)
https://zknives.com/knives/steels/s30100.shtml,"UNS S30100 Knife SteelComposition Analysis Graph, Equivalents And Overview",,США,US,United States(US)
https://zknives.com/knives/steels/s3.shtml,"AISI S3 Knife SteelComposition Analysis Graph, Equivalents And Overview",,США,US,United States(US)
https://zknives.com/knives/steels/s300.shtml,"Bohler-Uddeholm S300 Knife SteelComposition Analysis Graph, Equivalents And Overview",Bohler-Uddeholm,Швеция,SE,Sweden(SE)
https://zknives.com/knives/steels/s30200.shtml,"UNS S30200 Knife SteelComposition Analysis Graph, Equivalents And Overview",,США,US,United States(US)
https://zknives.com/knives/steels/s30400.shtml,"UNS S30400 Knife SteelComposition Analysis Graph, Equivalents And Overview",,США,US,United States(US)
https://zknives.com/knives/steels/s30300.shtml,"UNS S30300 Knife SteelComposition Analysis Graph, Equivalents And Overview",,США,US,United States(US)
https://zknives.com/knives/steels/s305.shtml,"Bohler-Uddeholm S305 Knife SteelComposition Analysis Graph, Equivalents And Overview",Bohler-Uddeholm,Швеция,SE,Sweden(SE)
https://zknives.com/knives/steels/s308.shtml,"Bohler-Uddeholm S308 Knife SteelComposition Analysis Graph, Equivalents And Overview",Bohler-Uddeholm,Швеция,SE,Sweden(SE)
https://zknives.com/knives/steels/s30c.shtml,"JIS S30C Knife SteelComposition Analysis Graph, Equivalents And Overview",,Япония,JP,Japan(JP)
https://zknives.com/knives/steels/s30v.shtml,"Crucible S30V Knife SteelComposition Analysis Graph, Equivalents And Overview",Crucible,США,US,United States(US)
