grade,analogues,base,c,cr,mo,v,w,co,ni,mn,si,s,p,cu,nb,n,other,tech,standard,manufacturer,link
ПСр71,,Fe,,,,,,,,,,,0.8-1.2,26.99-28.55,,,Fe 0-0.15; Pb 0-0.005; AG 70.5-71.5; BI 0-0.005; всего 0.15,,"ГОСТ 19738-2015, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2506
ПСр72,,Fe,,,,,,,,,,,,27.29-28.4,,,Fe 0-0.1; Pb 0-0.005; AG 71.5-72.5; BI 0-0.005; всего 0.1,,"ГОСТ 19738-2015, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2505
ПСрКдМ50-34-16,,Fe,,,,,,,,,,,,14.19-17.35,,,Fe 0-0.15; Pb 0-0.005; AG 49.5-50.5; BI 0-0.005; Cd 33-35; всего 0.15,,"ГОСТ 19738-2015, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2513
ПСрМО5,,Fe,,,,,,,,,,,,1.5-2.5,,,Fe 0-0.2; Pb 0-0.2; AG 4.5-5.5; Sb 0.8-1.2; BI 0-0.015; Sn 88.78-92; всего 0.4,,"ГОСТ 19738-2015, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2525
ПСрМО68-27-5,,Fe,,,,,,,,,,,,25.69-27.85,,,Fe 0-0.15; Pb 0-0.005; AG 67.5-68.5; BI 0-0.005; Sn 4.5-5.5; всего 0.15,,"ГОСТ 19738-2015, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2508
ПСрМЦКд45-15-16-24,,Fe,,,,,,,,,,,,12.04-17.35,,,Fe 0-0.15; Pb 0-0.15; Zn 15-17; AG 44.5-45.5; BI 0-0.005; Cd 23-25; всего 0.15,,"ГОСТ 19738-2015, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2515
ПСрО10-90,,Fe,,,,,,,,,,,,,,,Fe 0-0.15; Pb 0-0.2; AG 9.5-10.5; BI 0-0.01; Sn 88.84-90.2; всего 0.3,,"ГОСТ 19738-2015, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2523
ПСрО3-97,,Fe,,,,,,,,,,,,,,,Fe 0-0.15; Pb 0-0.2; AG 2.7-3.3; BI 0-0.01; Sn 96.04-97; всего 0.3,,"ГОСТ 19738-2015, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2528
ПСрОС2-58,,Fe,,,,,,,,,,,,,,,Fe 0-0.15; Pb 35.99-39.95; AG 1.7-2.3; Sb 0.2-0.8; BI 0-0.01; Sn 57.8-59.8; всего 0.15,,"ГОСТ 19738-2015, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2534
ПСрОС3-58,,Fe,,,,,,,,,,,,,,,Fe 0-0.15; Pb 35.89-40.05; AG 2.6-3.4; Sb 0.2-0.8; BI 0-0.01; Sn 56.8-58.8; всего 0.15,,"ГОСТ 19738-2015, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=2529
