grade,analogues,base,c,cr,mo,v,w,co,ni,mn,si,s,p,cu,nb,n,other,tech,standard,manufacturer,link
Н17К11М4Т2Ю,,Fe,,,4.5-4.5,,,11-11,17-17,,,,,,,,Ti 1.8-1.8; Al 1-1,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1479
Н17К12М5Т,,Fe,,,5-5,,,12-12,17-17,,,,,,,,Ti 1-1,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1481
Н18К12М3Т2,,Fe,,,3-3,,,12-12,18-18,,,,,,,,Ti 1.4-1.4,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1480
Н18К12М4Т2,,Fe,,,4-4,,,12-12,18-18,,,,,,,,Ti 2-2,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1482
Н18К14М5Т,,Fe,,,5-5,,,14-14,18-18,,,,,,,,Ti 1.5-1.5,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1483
Н18К3М4Т,,Fe,,,4.2-4.2,,,3.2-3.2,18-18,,,,,,,,Ti 0.26-0.26,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1309
Н18К4М7ТС,,Fe,,,7.7-7.7,,,4.5-4.5,18-18,,0.7-0.7,,,,,,Ti 0.6-0.6,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1484
Н18К7М5Т,,Fe,,,5.5-5.5,,,7-7,18-18,,,,,,,,Ti 0.5-0.5,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1468
Н18К8М3Т,,Fe,,,3-3,,,8-8,18-18,,,,,,,,Ti 0.2-0.2,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1469
Н18К8М5Т,,Fe,,,5-5,,,8-8,18-18,,,,,,,,Ti 0.5-0.5,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1470
Н18К9М5Т,,Fe,,,5-5,,,9-9,18-18,,,,,,,,Ti 0.5-0.5,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1471
Н18Ф6М3,,Fe,,,3-3,6-6,,,18-18,,,,,,,,,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1476
Н18Ф6М6,,Fe,,,6-6,6-6,,,18-18,,,,,,,,,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1477
Н8К18М14,,Fe,,,14-14,,,18-18,8-8,,,,,,,,Fe 60-60,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=1491
А75,,Fe,0.7-0.8,0-0.25,,,,,0-0.25,0.4-0.7,0-0.3,0.18-0.24,0.04-0.08,,,,,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3075
АСУ10Е,,Fe,0.95-1.04,0-0.15,,,,,0-0.2,0.15-0.4,0.15-0.3,0-0.03,0-0.03,0-0.2,,,Pb 0-0.25; SE 0.16-0.24,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3077
АУ10Е,,Fe,0.95-1.04,0-0.15,,,,,0-0.2,0.15-0.4,0.15-0.3,0-0.03,0-0.03,0-0.2,,,SE 0.16-0.24,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3076
У10,G51320 T72301 W1-9 1.1645 C105W1 C105W2 SK3 SK4 C105E2U C120E3U Y1-90 1645 BW1A BW1B CT105 C100KU C102 T10 T11 1880 U10 U11 U12 S101 S102 N10 N10E N11 N11E OSC10 19192 BOHLERK990 K990 STC3,Fe,0.95-1.09,0-0.2,,,,,0-0.25,0.17-0.33,0.17-0.33,0-0.028,0-0.03,0-0.25,,,,,"ГОСТ 1435-99, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=137
У10А,G51320 T72301 W110 W5 1.1545 C105W1 C105W2 SK3 SK4 C105E2U BW1B C105U CT105 C100KU C102 F.515 F.516 T10A 1880 U10A U11A S101 S102 S111 N10E N11 N11E OSC10 19191 BOHLERK990,Fe,0.95-1.09,0-0.2,,,,,0-0.25,0.17-0.28,0.17-0.33,0-0.018,0-0.025,0-0.25,,,,,"ГОСТ 1435-99, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=367
У11,G51320 T72301 T72305 W1-10 W5 1.1654 C105W1 C105W2 C110W SK3 C105E2U Y1-105 BW1B C100KU C102 1880 U11 S111 S112 N10 N10E N11 N11E OSC11 BOHLERK990,Fe,1.06-1.13,0-0.2,,,,,0-0.25,0.17-0.33,0.17-0.33,0-0.028,0-0.03,0-0.25,,,,,"ГОСТ 1435-74, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=581
У11А,G51320 T72301 C105W1 C105W2 SK3 C105E2U BW1B C100KU C102 1880 U11A S111 S112 N10 N10E N11 N11E OSC11 BOHLERK990,Fe,1.06-1.13,0-0.2,,,,,0-0.2,0.17-0.28,0.17-0.33,0-0.018,0-0.025,0-0.2,,,,,"ГОСТ 1435-74, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=584
У12,W1-11-1/2 1.1654 C110W2 SK2 C120E3U Y2120 BW1C CT120 C120KU T11 U12 S121 S122 N12 19221 K990,Fe,1.1-1.29,0-0.2,,,,,0-0.25,0.17-0.33,0.17-0.33,0-0.028,0-0.03,0-0.25,,,,,"ГОСТ 1435-99, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=138
У12А,SK2 C120E3U BW1C C120KU U12A S121 S122 N12E 19221,Fe,1.1-1.29,0-0.2,,,,,0-0.25,0.17-0.28,0.17-0.33,0-0.018,0-0.025,0-0.25,,,,,"ГОСТ 1435-99, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=368
У13,T72301 W1-13 W112 1.1663 C125U C125W SK1 SK2 C120E3U C140E3U Y240 CT120 C120KU C140KU C120 F.5123 U13 S131 S132 N12 N13 19255 K995,Fe,1.26-1.34,0-0.2,,,,,0-0.25,0.17-0.33,0.17-0.33,0-0.028,0-0.03,0-0.25,,,,,"ГОСТ 1435-74, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=582
У13А,SK1 C140E3U C140KU U13A S131 S132 N13E 19255,Fe,1.26-1.34,0-0.2,,,,,0-0.2,0.17-0.28,0.17-0.33,0-0.018,0-0.025,0-0.2,,,,,"ГОСТ 1435-74, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=585
У7,1.1620 C70W C70W2 SK6 SK7 C70E2U XC65 Y1-70 Y170 CT70 C70KU T7 U7 S71 S72 N7 OSC7 19132 19133 K970,Fe,0.65-0.74,0-0.2,,,,,0-0.25,0.17-0.33,0.17-0.33,0-0.028,0-0.03,0-0.25,,,,,"ГОСТ 1435-99, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=134
У7А,1.1520 C70U C70W1 C70E2U XC65 CT70 C70KU T7A U7A S71 S72 N7E OSC7 19132,Fe,0.65-0.74,0-0.2,,,,,0-0.25,0.17-0.28,0.17-0.33,0-0.018,0-0.025,0-0.25,,,,,"ГОСТ 1435-99, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=364
У8,W1-7 1.1625 C80W1 C80W2 SK5 SK6 SKC3 C90E2U Y1-70 Y1-80 Y180 Y90 BW1A BW1B CT80 C80KU T8 N8 19152 K980,Fe,0.75-0.84,0-0.2,,,,,0-0.25,0.17-0.33,0.17-0.33,0-0.028,0-0.03,0-0.25,,,,,"ГОСТ 1435-99, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=135
У8А,W108 1.1525 C80W1,Fe,0.75-0.84,0-0.2,,,,,0-0.25,0.17-0.28,0.17-0.33,0-0.018,0-0.025,0-0.25,,,,,"ГОСТ 1435-99, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=365
У8Г,W1-8 C80W1 SK5 Y1-90 BW1A,Fe,0.8-0.9,0-0.2,,,,,0-0.25,0.33-0.58,0.17-0.33,0-0.028,0-0.03,0-0.25,,,,,"ГОСТ 1435-99, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=580
У8ГА,C85W F.510A T8Mn T8MnA OSC8M,Fe,0.8-0.9,0-0.2,,,,,0-0.25,0.33-0.58,0.17-0.33,0-0.018,0-0.025,0-0.25,,,,,"ГОСТ 1435-99, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=583
У9,W1-8 C80W1 C85W SK5 C90E2U Y1-80 BW1A C90KU U9 S91 S92 N9,Fe,0.85-0.94,0-0.2,,,,,0-0.25,0.17-0.33,0.17-0.33,0-0.028,0-0.03,0-0.25,,,,,"ГОСТ 1435-99, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=136
У9А,C85W SK5 C90E2U BW1A C90KU U9A S91 S92 N9E,Fe,0.85-0.94,0-0.2,,,,,0-0.25,0.17-0.28,0.17-0.33,0-0.018,0-0.025,0-0.25,,,,,"ГОСТ 1435-99, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=366
05Х12Н6Д2МФСГТ,,Fe,0.01-0.08,11.5-13.5,0.2-0.4,0.2-0.5,,,5.5-6.5,0.2-1.2,0.6-1.2,0-0.03,0-0.03,1.4-2.2,,,Ti 0.4-0.8; Zr 0-0.15; Ca 0-0.03; Mg 0-0.03,,"ГОСТ 5950-2000, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=510
11Х4В2МФ3С2,,Fe,1.05-1.15,3.5-4.2,0.3-0.5,2.3-2.8,2-2.7,,0-0.4,0.2-0.5,1.4-1.8,0-0.03,0-0.03,0-0.3,,,,,"ГОСТ 5950-2000, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=645
11ХФ,115CrV3 107CrV3KU 120CrV BOHLERK510,Fe,1.05-1.15,0.4-0.7,,0.15-0.3,,,0-0.4,0.4-0.7,0.1-0.4,0-0.03,0-0.03,0-0.3,,,,,"ГОСТ 5950-2000, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=638
12Х1,NC6 19422,Fe,1.15-1.25,1.3-1.65,0-0.2,0-0.15,0-0.2,,0-0.4,0.3-0.6,0.1-0.4,0-0.03,0-0.03,0-0.3,,,Ti 0-0.03,,"ГОСТ 5950-2000, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=641
13Х,1.2008 140Cr2 SKS8 130Cr3 Y2-140C Y2140C Cr06 K6 NC5 19420 K205,Fe,1.25-1.4,0.4-0.7,0-0.2,0-0.15,0-0.2,,0-0.4,0.15-0.45,0.1-0.4,0-0.03,0-0.03,0-0.3,,,Ti 0-0.03,,"ГОСТ 5950-2000, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=636
3Х2МНФ,,Fe,0.27-0.33,2-2.5,0.4-0.6,0.25-0.4,,,1.2-1.6,0.3-0.6,0.1-0.4,0-0.03,0-0.03,0-0.3,,,,,"ГОСТ 5950-2000, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=654
4ХМНФС,57NiCrMoV7-7 X38CrMoV5-1,Fe,0.35-0.45,1.25-1.55,0.65-0.85,0.35-0.5,,,1.2-1.6,0.15-0.45,0.7-1,0-0.03,0-0.03,0-0.3,,,Zr 0-0.05; B 0-0.003,,"ГОСТ 5950-2000, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=655
4ХС,38SiCrV6,Fe,0.35-0.45,1.3-1.6,0-0.2,0-0.15,0-0.2,,0-0.4,0.15-0.45,1.2-1.6,0-0.03,0-0.03,0-0.3,,,Ti 0-0.03,,"ГОСТ 5950-2000, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=508
55Х7ВСМФ,,Fe,0.5-0.6,6.35-8,1.1-1.5,0.1-0.25,0.7-1.1,,0-0.35,0.2-0.4,0.6-0.9,0-0.03,0-0.03,0-0.3,,,Ti 0.05-0.15,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3117
5ХВ2СФ,S1 T41901 1.2542 1.2550 45WCrV17 45WCrV7 60WCrV7 45WCrV8 2542 BS1 45WCrV8KU 45WCrSi8 F.5241 2710 5ChW2SF W5 NZ2 45VSiCrW20 19732,Fe,0.45-0.55,0.9-1.2,,0.15-0.3,1.8-2.3,,0-0.4,0.15-0.45,0.8-1.1,0-0.03,0-0.03,0-0.3,,,,,"ГОСТ 5950-2000, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=509
5ХНВ,L6 1.2714 55NiCrMoV6 56NiCrMoV7 SKT4 55NCDV7 BH224/5 55NiCrMoV7 56NiCrMoV7KU 19663 W501,Fe,0.5-0.6,0.5-0.8,,,0.4-0.7,,1.4-1.8,0.5-0.8,0.1-0.4,0-0.03,0-0.03,0-0.3,,,,,"ГОСТ 5950-2000, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=511
5ХНВС,55NiCrMoV6,Fe,0.5-0.6,1.3-1.6,,,0.4-0.7,,0.8-1.2,0.3-0.6,0.6-0.9,0-0.03,0-0.03,0-0.3,,,,,"ГОСТ 5950-2000, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=512
6Х3МФС,,Fe,0.55-0.62,2.6-3.3,0.2-0.5,0.3-0.6,,,0-0.4,0.2-0.6,0.35-0.65,0-0.03,0-0.03,0-0.3,,,,,"ГОСТ 5950-2000, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=503
6Х4М2ФС,,Fe,0.57-0.65,3.8-4.4,2-2.4,0.4-0.6,,,0-0.4,0.15-0.45,0.7-1,0-0.03,0-0.03,0-0.3,,,,,"ГОСТ 5950-2000, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=643
6Х6В3МФС,,Fe,0.5-0.6,5.5-6.5,0.6-0.9,0.5-0.8,2.5-3.2,,0-0.4,0.15-0.45,0.6-0.9,0-0.03,0-0.03,0-0.3,,,,,"ГОСТ 5950-2000, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=646
7ХФ,62SiMnCr4 86CrMoV7,Fe,0.63-0.73,0.4-0.7,,0.15-0.3,,,0-0.035,0.3-0.6,0.15-0.35,0-0.03,0-0.03,,,,,,"ГОСТ 5950-73, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=828
8Х4В2МФС2,,Fe,0.8-0.9,4.5-5.1,0.8-1.1,1.1-1.4,1.8-2.3,,0-0.4,0.2-0.5,1.7-2,0-0.03,0-0.03,0-0.3,,,,,"ГОСТ 5950-2000, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=644
8Х6НФТ,,Fe,0.8-0.9,5-6,,0.3-0.5,,,0.9-1.3,0.15-0.45,0.1-0.4,0-0.03,0-0.03,0-0.3,,,Ti 0.05-0.15,,"ГОСТ 5950-2000, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=502
8ХФ,62SiMnCr4 80CrV2 86CrMoV7 8ChF NCV1 19419,Fe,0.7-0.8,0.4-0.7,,0.15-0.3,,,0-0.4,0.15-0.45,0.1-0.4,0-0.03,0-0.03,,,,,,"ГОСТ 5950-2000, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=507
9Г2Ф,O2 1.2842 90MnCrV8 90MnV8 BO2 90MnVCr8KU 9G2F M1 19312,Fe,0.85-0.95,,,0.1-0.3,,,0-0.4,1.7-2.2,0.1-0.4,0-0.03,0-0.03,0-0.3,,,,,"ГОСТ 5950-2000, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=506
9Х1,102Cr6 85Cr7 9CV2 19426 K201,Fe,0.8-0.95,1.4-1.7,0-0.2,0-0.15,0-0.2,,0-0.4,0.15-0.4,0.25-0.45,0-0.03,0-0.03,0-0.3,,,Ti 0-0.03,,"ГОСТ 5950-2000, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=139
9Х5ВФ,A2 T30102 X100CrMoV5-1 SKD12 X100CrMoV5 Z100CDV5 BA2 1.2363 X100CrMoV51KU Cr5Mo1V 2260 19571 BOHLERK305 K305,Fe,0.85-1,4.5-5.5,,0.15-0.3,0.8-1.2,,0-0.4,0.15-0.45,0.1-0.4,0-0.03,0-0.03,0-0.3,,,,,"ГОСТ 5950-2000, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=501
9ХВГ,T31501 100MnCrW4 SKS3 90MnWCrV5 BO1 1.2825 95MnWCr5 95MnWVCr5KU 95MnCrW5 2140 BOHLERK460,Fe,0.85-0.95,0.5-0.8,,,0.5-0.8,,0-0.4,0.9-1.2,0.1-0.4,0-0.03,0-0.03,0-0.3,,,,,"ГОСТ 5950-2000, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=143
9ХС,150Cr14 90CrSi 90CrSi5,Fe,0.85-0.95,0.95-1.25,0-0.2,0-0.15,0-0.2,,0-0.4,0.3-0.6,1.2-1.6,0-0.03,0-0.03,0-0.3,,,Ti 0-0.03,,"ГОСТ 5950-2000, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=141
9ХФ,L2 1.1056 1.2056 80CrV2 90Cr3 SKC11 8ChF NCV1 19419 19423 BOHLERB400,Fe,0.8-0.9,0.4-0.7,,0.15-0.3,,,0-0.4,0.3-0.6,0.1-0.4,0-0.03,0-0.03,0-0.3,,,,,"ГОСТ 5950-2000, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=637
9ХФМ,,Fe,0.8-0.9,0.4-0.7,0.15-0.25,,0.15-0.3,,0-0.4,0.3-0.6,0.1-0.4,0-0.03,0-0.03,0-0.3,,,,,"ГОСТ 5950-2000, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=639
В2Ф,,Fe,1.05-1.22,0.2-0.4,,0.15-0.3,1.6-2,,,0.15-0.45,0.1-0.4,0-0.03,0-0.03,,,,,,"ГОСТ 5950-2000, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=505
Х,L1 T61203 1.2067 100Cr6 102Cr6 SUJ2 100Cr6RR 2067 BL3 102Cr6KU F.5230 Cr2 2258 K4 NC4 BOHLERK200 STB2,Fe,0.95-1.1,1.3-1.65,0-0.2,0-0.15,0-0.2,,0-0.4,0.15-0.45,0.1-0.4,0-0.03,0-0.03,0-0.3,,,Ti 0-0.03,,"ГОСТ 5950-2000, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=640
ХВ4,F2 SKS11,Fe,1.25-1.45,0.4-0.7,,0.15-0.3,3.5-4.3,,0-0.35,0.15-0.4,0.15-0.35,0-0.03,0-0.03,0-0.3,,,,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=829
ХВ4Ф,F2 X130W5 SKS11 19714 K400,Fe,1.25-1.45,0.4-0.7,0-0.5,0.15-0.3,3.5-4.3,,0-0.35,0.15-0.4,0.15-0.35,0-0.03,0-0.03,0-0.3,,,,,"ГОСТ 5950-73, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=140
ХВГ,01 T31507 1.2419 105WCr6 SKS2 SKS3 SKS31 105WC13 105WCr5 106WCr6 90MCW5 107WCR5 107WCr5KU 2140 W9 105MnCrW11 STS2 STS3 STS31,Fe,0.9-1.05,0.9-1.2,,,1.2-1.6,,0-0.4,0.8-1.1,0.1-0.4,0-0.03,0-0.03,0-0.3,,,,,"ГОСТ 5950-2000, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=142
ХВСГ,,Fe,0.95-1.05,0.6-1.1,,0.05-0.15,0.5-0.8,,0-0.25,0.6-0.9,0.65-1,0-0.03,0-0.03,0-0.3,,,,,"ГОСТ 5950-73, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=830
ХВСГФ,100MnCrW4,Fe,0.95-1.05,0.6-1.1,,0.05-0.15,0.5-0.8,,0-0.4,0.6-0.9,0.65-1,0-0.03,0-0.03,0-0.3,,,,,"ГОСТ 5950-2000, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=504
ХГС,100CrMn6,Fe,0.95-1.05,1.3-1.65,0-0.2,0-0.15,0-0.2,,0-0.4,0.85-1.25,0.4-0.7,0-0.03,0-0.03,0-0.3,,,Ti 0-0.03,,"ГОСТ 5950-2000, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=642
45ХНМ,,Fe,0.4-0.5,1.3-1.7,0.1-0.3,,,,1.2-1.6,0.5-0.8,0.17-0.37,0-0.04,0-0.04,,,,,,"ГОСТ 8479-70, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=311
55Х,,Fe,0.5-0.6,1-1.3,,,,,0-0.5,0.35-0.65,0.17-0.37,0-0.04,0-0.04,,,,,,"ГОСТ 8479-70, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=309
60Х2СМФ,,Fe,0.57-0.65,1.8-2.1,0.25-0.35,0.1-0.25,,,0-0.5,0.2-0.7,1.05-1.3,0-0.03,0-0.03,,,,,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=308
60ХГ,,Fe,0.55-0.65,1-1.3,,,,,0-0.4,0.8-1,0.17-0.37,0-0.04,0-0.04,,,,,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=313
60ХН,,Fe,0.55-0.65,0.6-0.9,,,,,1-1.5,0.5-0.8,0.17-0.37,0-0.04,0-0.04,,,,,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=310
60ХСМФ,,Fe,0.55-0.65,1.4-1.8,0.4-0.6,0.15-0.25,,,0-0.5,0.4-0.7,1.05-1.3,0-0.03,0-0.03,,,,,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=307
75ХМ,,Fe,0.7-0.8,1.4-1.7,0.2-0.3,,,,0-0.5,0.2-0.7,0.2-0.6,0-0.03,0-0.03,,,,,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=305
75ХМФ,,Fe,0.7-0.8,1.4-1.7,0.1-0.3,0.05-0.25,,,0-0.3,0.2-0.7,0.2-0.6,0-0.04,0-0.04,,,,,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=315
75ХСМФ,,Fe,0.72-0.8,1.2-1.5,0.2-0.3,0.1-0.2,,,0-0.5,0-0.3,0.8-1.2,0-0.03,0-0.03,,,,,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=306
7Х2СМФ,,Fe,0.7-0.8,1.7-2.2,0.35-0.6,0.15-0.3,,,0-0.5,0.6-1,0.7-1,0-0.03,0-0.03,,,,,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=312
90ХМФ,,Fe,0.8-0.9,1.4-1.7,0.2-0.3,0.1-0.2,,,0-0.3,0.2-0.7,0.2-0.4,0-0.04,0-0.04,,,,,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=314
90ХФ,,Fe,0.8-0.9,0.4-0.7,,0.15-0.3,,,0-0.35,0.3-0.6,0.15-0.35,0-0.03,0-0.03,0-0.3,,,,,"ГОСТ 5950-73, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=303
9Х2,L3 1.2067 Y100C6 BL3,Fe,0.85-0.95,1.7-2.1,,,,,0-0.5,0.2-0.7,0.25-0.5,0-0.03,0-0.03,,,,,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=302
9Х2МФ,,Fe,0.85-0.95,1.7-2.1,0.2-0.3,0.1-0.2,,,0-0.5,0.2-0.7,0.25-0.5,0-0.03,0-0.03,,,,,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=304
27Х2Н2М1Ф,,Fe,0.25-0.3,2-2.5,0.8-1,0.2-0.3,,,1.4-1.8,0.5-0.8,0.17-0.37,0-0.03,0-0.03,,,,,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=290
2Х6В8М2К8,,Fe,0.22-0.3,6.5-7,1.8-2.3,0.1-0.25,7-8,7.5-8.5,,0.15-0.4,0.3-0.6,0-0.03,0-0.03,,,,,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=791
3Х2В8Ф,H21 T20821 1.2581 30WCrV17-2 X30WCrV5-3 X30WCrV9-3 SKD5 X30WCrV9 Z30WCV9 2581 BH21 X30WCrV9-3KU F.5323 3Cr2W8V 3Ch2B8F 30VCrW85 19721 BOHLERW100 W100 STD5,Fe,0.3-0.4,2.2-2.7,0-0.5,0.2-0.5,7.5-8.5,,0-0.35,0.15-0.4,0.15-0.4,0-0.03,0-0.03,0-0.03,,,,,"ГОСТ 5950-73, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=288
3Х2Н2МВФ,,Fe,0.32-0.38,2-2.5,0.8-1,0.2-0.3,0.8-1.2,,1.4-1.8,0.5-0.8,0.17-0.37,0-0.03,0-0.03,,,,,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=289
3Х3М3Ф,H10 H12 T20810 1.2365 30CrMoV12 45WCrV7 X30WCrV5-3 X30WCrV9-3 X32CrMoV3-3 X32CrMoV33 SKD62 SKD7 32CDV12-28 32CrMoV12-28 Z35CWDV5 2365 BH10 BH12 1.6580 30CrMoV12-11 30CrNiMo8 30CrMoV12-27KU CMV40 K14 31VMoCr29 19541 BOHLERW320 W320,Fe,0.27-0.34,2.8-3.5,2.5-3,0.4-0.6,,,0-0.4,0.2-0.5,0.1-0.4,0-0.03,0-0.03,0-0.3,,,,,"ГОСТ 5950-2000, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=287
40Х5МФ,1.8523 39CrMoV13-9 897M39,Fe,0.35-0.45,4.5-5.5,1.2-1.6,0.4-0.6,,,0-0.3,0.5-0.8,0.17-0.37,0-0.03,0-0.03,,,,,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=296
4Х2В5МФ,30WCrV17-2 SKD4 X32WCrV5 X30WCrV5-3KU WWS1 19720 BOHLERW105,Fe,0.3-0.4,2.2-3,0.6-0.9,0.6-0.9,4.5-5.5,,0-0.4,0.1-0.45,0.1-0.4,0-0.03,0-0.03,0-0.3,,,,,"ГОСТ 5950-2000, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=652
4Х2НМФ,,Fe,0.36-0.42,2-2.5,0.4-0.6,0.15-0.2,,,0.8-1.1,0.5-0.8,0.17-0.37,0-0.03,0-0.03,,,,,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=297
4Х3ВМФ,H10 T20810,Fe,0.4-0.48,2.8-3.5,0.4-0.6,0.6-0.9,0.6-1,,0-0.4,0.3-0.6,0.6-0.9,0-0.03,0-0.03,0-0.3,,,,,"ГОСТ 5950-2000, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=649
4Х4ВМФС,H12 T20812 30WCrV17-2 45WCrV7 X30WCrV5-3 X30WCrV9-3 X40CrMoV5-1 SKD62,Fe,0.37-0.44,3.2-4,1.2-1.5,0.6-0.9,0.8-1.2,,0-0.6,0.2-0.5,0.6-1,0-0.03,0-0.03,0-0.3,,,,,"ГОСТ 5950-2000, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=650
4Х5В2ФС,X40CrMoV5-1,Fe,0.35-0.45,4.5-5.5,,0.6-0.9,1.6-2.2,,0-0.4,0.15-0.45,0.8-1.2,0-0.03,0-0.03,0-0.3,,,,,"ГОСТ 5950-2000, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=651
