grade,link,zknives_maker,cc,zknives_country,db_standard,db_country,db_type,issues
RexM52,https://zknives.com/knives/steels/rexm52.shtml,Latrobe,US,США,,,,missing_standard
Rex-LA,https://zknives.com/knives/steels/rex-la.shtml,Latrobe,US,США,,,,missing_standard
EM52,https://zknives.com/knives/steels/em52.shtml,Latrobe,US,США,,,,missing_standard
HYM52,https://zknives.com/knives/steels/hym52.shtml,Latrobe,US,США,,,,missing_standard
EMV2,https://zknives.com/knives/steels/emv2.shtml,Latrobe,US,США,,,,missing_standard
Vasco 52,https://zknives.com/knives/steels/vasco_52.shtml,Latrobe,US,США,"Vasco 52, Швеция",Швеция,proprietary,country_mismatch;maker_mismatch
1.3347,https://zknives.com/knives/steels/1.3347.shtml,Erasteel,FR,Франция,"DIN 1.3347, Германия",Германия,government,country_mismatch;expected_proprietary_got_government
HS7-5-3,https://zknives.com/knives/steels/hs7-5-3.shtml,Erasteel,FR,Франция,"ISO HS7-5-3, Международный",Международный,government,country_mismatch;expected_proprietary_got_government
Z120WDCV07-05-04-03,https://zknives.com/knives/steels/z120wdcv07-05-04-03.shtml,Erasteel,FR,Франция,,,,missing_standard
GV3,https://zknives.com/knives/steels/gv3.shtml,Erasteel,FR,Франция,,,,missing_standard
S10-2-5-8,https://zknives.com/knives/steels/s10-2-5-8.shtml,Carpenter,US,США,,,,missing_standard
S10-5-3-9,https://zknives.com/knives/steels/s10-5-3-9.shtml,Carpenter,US,США,,,,missing_standard
HS10-2-5-8,https://zknives.com/knives/steels/hs10-2-5-8.shtml,Carpenter,US,США,"ISO HS10-2-5-8, Международный",Международный,government,country_mismatch;expected_proprietary_got_government
Z160WKVCD10-08-05-04-02,https://zknives.com/knives/steels/z160wkvcd10-08-05-04-02.shtml,Carpenter,US,США,,,,missing_standard
X160WCoVCrMo 10-08-05-04-02,https://zknives.com/knives/steels/x160wcovcrmo_10-08-05-04-02.shtml,Carpenter,US,США,,,,missing_standard
Micro-Melt T15 Plus,https://zknives.com/knives/steels/micro-melt_t15_plus.shtml,Carpenter,US,США,"Micro-Melt T15 Plus, США",США,proprietary,maker_mismatch
