grade,splav_c,db_c,match_c,splav_cr,db_cr,match_cr,splav_mo,db_mo,match_mo,splav_v,db_v,match_v,splav_w,db_w,match_w,splav_co,db_co,match_co,splav_ni,db_ni,match_ni,splav_mn,db_mn,match_mn,splav_si,db_si,match_si,splav_s,db_s,match_s,splav_p,db_p,match_p,splav_cu,db_cu,match_cu,splav_nb,db_nb,match_nb,splav_n,db_n,match_n,status,mismatch_fields
Св-08ХН2ГМЮ,0.06 - 0.11,0.06 - 0.11,1,0.7 - 1.1,0.7 - 1.1,1,0.4 - 0.65,0.4 - 0.65,1,,,1,,,1,,,1,2 - 2.5,2 - 2.5,1,1 - 1.4,1 - 1.4,1,0.25 - 0.55,0.25 - 0.55,1,до &nbsp; 0.03,до &nbsp; 0.03,1,до &nbsp; 0.03,до &nbsp; 0.03,1,,,1,,,1,до &nbsp; 0.015,до &nbsp; 0.015,1,ok,
Св-08ХН2М,до &nbsp; 0.1,до &nbsp; 0.1,1,0.7 - 1,0.7 - 1,1,0.2 - 0.4,0.2 - 0.4,1,,,1,,,1,,,1,1.4 - 1.8,1.4 - 1.8,1,0.55 - 0.85,0.55 - 0.85,1,0.12 - 0.3,0.12 - 0.3,1,до &nbsp; 0.025,до &nbsp; 0.025,1,до &nbsp; 0.03,до &nbsp; 0.03,1,,,1,,,1,до &nbsp; 0.015,до &nbsp; 0.015,1,ok,
Св-08ХНМ,до &nbsp; 0.1,до &nbsp; 0.1,1,0.7 - 0.9,0.7 - 0.9,1,0.25 - 0.45,0.25 - 0.45,1,,,1,,,1,,,1,0.8 - 1.2,0.8 - 1.2,1,0.5 - 0.8,0.5 - 0.8,1,0.12 - 0.35,0.12 - 0.35,1,до &nbsp; 0.025,до &nbsp; 0.025,1,до &nbsp; 0.03,до &nbsp; 0.03,1,,,1,,,1,до &nbsp; 0.012,до &nbsp; 0.012,1,ok,
Св-09Х16Н25М6АФ,0.07 - 0.11,0.07 - 0.11,1,15 - 17,15 - 17,1,5.5 - 7,5.5 - 7,1,0.7 - 1,0.7 - 1,1,,,1,,,1,24 - 27,24 - 27,1,1 - 2,1 - 2,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.018,до &nbsp; 0.018,1,до &nbsp; 0.018,до &nbsp; 0.018,1,,,1,,,1,0.1 - 0.2,0.1 - 0.2,1,ok,
Св-10Г2,до &nbsp; 0.12,до &nbsp; 0.12,1,до &nbsp; 0.2,до &nbsp; 0.2,1,,,1,,,1,,,1,,,1,до &nbsp; 0.3,до &nbsp; 0.3,1,1.5 - 1.9,1.5 - 1.9,1,до &nbsp; 0.06,до &nbsp; 0.06,1,до &nbsp; 0.03,до &nbsp; 0.03,1,до &nbsp; 0.03,до &nbsp; 0.03,1,,,1,,,1,до &nbsp; 0.01,до &nbsp; 0.01,1,ok,
Св-10Г2СМА,0.07 - 0.12,0.07 - 0.12,1,0.8 - 1.1,0.8 - 1.1,1,0.4 - 0.6,0.4 - 0.6,1,,,1,,,1,,,1,до &nbsp; 0.3,до &nbsp; 0.3,1,1.7 - 2.1,1.7 - 2.1,1,0.6 - 0.9,0.6 - 0.9,1,до &nbsp; 0.025,до &nbsp; 0.025,1,до &nbsp; 0.025,до &nbsp; 0.025,1,,,1,,,1,,,1,ok,
Св-10ГА,до &nbsp; 0.12,до &nbsp; 0.12,1,до &nbsp; 0.2,до &nbsp; 0.2,1,,,1,,,1,,,1,,,1,до &nbsp; 0.3,до &nbsp; 0.3,1,1.1 - 1.4,1.1 - 1.4,1,до &nbsp; 0.06,до &nbsp; 0.06,1,до &nbsp; 0.025,до &nbsp; 0.025,1,до &nbsp; 0.03,до &nbsp; 0.03,1,,,1,,,1,до &nbsp; 0.01,до &nbsp; 0.01,1,ok,
Св-10ГН,до &nbsp; 0.12,до &nbsp; 0.12,1,до &nbsp; 0.2,до &nbsp; 0.2,1,,,1,,,1,,,1,,,1,0.9 - 1.2,0.9 - 1.2,1,0.9 - 1.2,0.9 - 1.2,1,0.15 - 0.35,0.15 - 0.35,1,до &nbsp; 0.025,до &nbsp; 0.025,1,до &nbsp; 0.03,до &nbsp; 0.03,1,,,1,,,1,до &nbsp; 0.01,до &nbsp; 0.01,1,ok,
Св-10ГСМТ,0.08 - 0.14,0.08 - 0.14,1,до &nbsp; 0.3,до &nbsp; 0.3,1,0.2 - 0.4,0.2 - 0.4,1,,,1,,,1,,,1,до &nbsp; 0.3,до &nbsp; 0.3,1,1 - 1.3,1 - 1.3,1,0.4 - 0.7,0.4 - 0.7,1,до &nbsp; 0.025,до &nbsp; 0.025,1,до &nbsp; 0.03,до &nbsp; 0.03,1,,,1,,,1,,,1,ok,
Св-10МХ,0.08 - 0.13,0.08 - 0.13,1,0.45 - 0.65,0.45 - 0.65,1,0.4 - 0.6,0.4 - 0.6,1,,,1,,,1,,,1,до &nbsp; 0.3,до &nbsp; 0.3,1,0.35 - 0.6,0.35 - 0.6,1,0.12 - 0.3,0.12 - 0.3,1,до &nbsp; 0.025,до &nbsp; 0.025,1,до &nbsp; 0.03,до &nbsp; 0.03,1,,,1,,,1,,,1,ok,
Св-10НМА,0.07 - 0.12,0.07 - 0.12,1,до &nbsp; 0.2,до &nbsp; 0.2,1,0.4 - 0.55,0.4 - 0.55,1,,,1,,,1,,,1,1 - 1.5,1 - 1.5,1,0.4 - 0.7,0.4 - 0.7,1,0.12 - 0.35,0.12 - 0.35,1,до &nbsp; 0.025,до &nbsp; 0.025,1,до &nbsp; 0.02,до &nbsp; 0.02,1,,,1,,,1,до &nbsp; 0.01,до &nbsp; 0.01,1,ok,
Св-10Х11НВМФ,0.08 - 0.13,0.08 - 0.13,1,10.5 - 12,10.5 - 12,1,1 - 1.3,1 - 1.3,1,0.25 - 0.5,0.25 - 0.5,1,1 - 1.4,1 - 1.4,1,,,1,0.8 - 1.1,0.8 - 1.1,1,0.35 - 0.65,0.35 - 0.65,1,0.3 - 0.6,0.3 - 0.6,1,до &nbsp; 0.025,до &nbsp; 0.025,1,до &nbsp; 0.03,до &nbsp; 0.03,1,,,1,,,1,,,1,ok,
Св-10Х16Н25АМ6,0.08 - 0.12,0.08 - 0.12,1,15 - 17,15 - 17,1,5.5 - 7,5.5 - 7,1,,,1,,,1,,,1,24 - 27,24 - 27,1,1 - 2,1 - 2,1,до &nbsp; 0.6,до &nbsp; 0.6,1,до &nbsp; 0.018,до &nbsp; 0.018,1,до &nbsp; 0.025,до &nbsp; 0.025,1,,,1,,,1,0.1 - 0.2,0.1 - 0.2,1,ok,
Св-10Х17Т,до &nbsp; 0.12,до &nbsp; 0.12,1,16 - 18,16 - 18,1,,,1,,,1,,,1,,,1,до &nbsp; 0.6,до &nbsp; 0.6,1,до &nbsp; 0.7,до &nbsp; 0.7,1,до &nbsp; 0.8,до &nbsp; 0.8,1,до &nbsp; 0.025,до &nbsp; 0.025,1,до &nbsp; 0.035,до &nbsp; 0.035,1,,,1,,,1,,,1,ok,
