grade,db_grade,link,updated_fields,source,note
C.4756,C.4756,https://zknives.com/knives/steels/c.4756.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
95X5GM,95X5GM,https://zknives.com/knives/steels/95x5gm.shtml,"manufacturer,standard,w,co,nb,n",zknives_mismatches.csv,link
9X5VF,9X5VF,https://zknives.com/knives/steels/9x5vf.shtml,"manufacturer,standard,w,co,nb,n",zknives_mismatches.csv,link
9KH5VF,9KH5VF,https://zknives.com/knives/steels/9kh5vf.shtml,"manufacturer,standard,w,co,nb,n",zknives_mismatches.csv,link
KH6VF,KH6VF,https://zknives.com/knives/steels/kh6vf.shtml,"manufacturer,standard,w,co,nb,n",zknives_mismatches.csv,link
X6VF,X6VF,https://zknives.com/knives/steels/x6vf.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
9H5VF,9H5VF,https://zknives.com/knives/steels/9h5vf.shtml,"manufacturer,standard,w,co,nb,n",zknives_mismatches.csv,link
T30102,T30102,https://zknives.com/knives/steels/t30102.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
100VMoCr52,100VMoCr52,https://zknives.com/knives/steels/100vmocr52.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
NCLV,NCLV,https://zknives.com/knives/steels/nclv.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
Viger,Viger,https://zknives.com/knives/steels/viger.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
DKD12,DKD12,https://zknives.com/knives/steels/dkd12.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
Sagamore,Sagamore,https://zknives.com/knives/steels/sagamore.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
Windsor,Windsor,https://zknives.com/knives/steels/windsor.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
XW10,XW10,https://zknives.com/knives/steels/xw10.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
Molex #8,Molex #8,https://zknives.com/knives/steels/molex_!8.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
Cr-Mo-Loy,Cr-Mo-Loy,https://zknives.com/knives/steels/cr-mo-loy.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
SMHW,SMHW,https://zknives.com/knives/steels/smhw.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
EG2,EG2,https://zknives.com/knives/steels/eg2.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
AH Chrome Die,AH Chrome Die,https://zknives.com/knives/steels/ah_chrome_die.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
BE2363,BE2363,https://zknives.com/knives/steels/be2363.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
AH5,AH5,https://zknives.com/knives/steels/ah5.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
AirPro,AirPro,https://zknives.com/knives/steels/airpro.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
Rigor,Rigor,https://zknives.com/knives/steels/rigor.shtml,"standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
K305,K305,https://zknives.com/knives/steels/k305.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
UHB151,UHB151,https://zknives.com/knives/steels/uhb151.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
Cuvoir,Cuvoir,https://zknives.com/knives/steels/cuvoir.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
Airque,Airque,https://zknives.com/knives/steels/airque.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
No. 484,No. 484,https://zknives.com/knives/steels/no._484.shtml,"manufacturer,standard,w,co,ni,s,p,cu,nb,n,analogues",zknives_mismatches.csv,link
Carpenter A2,Carpenter A2,https://zknives.com/knives/steels/carpenter_a2.shtml,"manufacturer,standard,w,co,ni,s,p,cu,nb,n,analogues",zknives_mismatches.csv,link
32S,32S,https://zknives.com/knives/steels/32s.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
EZ-Die,EZ-Die,https://zknives.com/knives/steels/ez-die.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
One Five One,One Five One,https://zknives.com/knives/steels/one_five_one.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
Airkool,Airkool,https://zknives.com/knives/steels/airkool.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
Aircool,Aircool,https://zknives.com/knives/steels/aircool.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
Airkool-S,Airkool-S,https://zknives.com/knives/steels/airkool-s.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
DC12,DC12,https://zknives.com/knives/steels/dc12.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
GO40F,GO40F,https://zknives.com/knives/steels/go40f.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
ClairMo,ClairMo,https://zknives.com/knives/steels/clairmo.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
P5M,P5M,https://zknives.com/knives/steels/p5m.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
Ziv Steel,Ziv Steel,https://zknives.com/knives/steels/ziv_steel.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
ES65S,ES65S,https://zknives.com/knives/steels/es65s.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
Cromodie HC,Cromodie HC,https://zknives.com/knives/steels/cromodie_hc.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
Hecla175,Hecla175,https://zknives.com/knives/steels/hecla175.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
SCD,SCD,https://zknives.com/knives/steels/scd.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
HPM2T,HPM2T,https://zknives.com/knives/steels/hpm2t.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
CRM1,CRM1,https://zknives.com/knives/steels/crm1.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
Victor,Victor,https://zknives.com/knives/steels/victor.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
Lukens A-2,Lukens A-2,https://zknives.com/knives/steels/lukens_a-2.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
H33,H33,https://zknives.com/knives/steels/h33.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
CH5M,CH5M,https://zknives.com/knives/steels/ch5m.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
LSS A2,LSS A2,https://zknives.com/knives/steels/lss_a2.shtml,"manufacturer,standard,w,co,ni,s,p,cu,nb,n,analogues",zknives_mismatches.csv,link
Select B,Select B,https://zknives.com/knives/steels/select_b.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
AirTem,AirTem,https://zknives.com/knives/steels/airtem.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
LO-K 2363,LO-K 2363,https://zknives.com/knives/steels/lo-k_2363.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
OA2,OA2,https://zknives.com/knives/steels/oa2.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
CDS12,CDS12,https://zknives.com/knives/steels/cds12.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
KD12,KD12,https://zknives.com/knives/steels/kd12.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
DCM,DCM,https://zknives.com/knives/steels/dcm.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
EPS52,EPS52,https://zknives.com/knives/steels/eps52.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
FMP379,FMP379,https://zknives.com/knives/steels/fmp379.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
RAZ1,RAZ1,https://zknives.com/knives/steels/raz1.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
RAZU,RAZU,https://zknives.com/knives/steels/razu.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
Air-True,Air-True,https://zknives.com/knives/steels/air-true.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
JA,JA,https://zknives.com/knives/steels/ja.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
KEA162,KEA162,https://zknives.com/knives/steels/kea162.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
QC12,QC12,https://zknives.com/knives/steels/qc12.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
SIHard 2363,SIHard 2363,https://zknives.com/knives/steels/sihard_2363.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
Stora65,Stora65,https://zknives.com/knives/steels/stora65.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
Airvan,Airvan,https://zknives.com/knives/steels/airvan.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
Thyrodur2363,Thyrodur2363,https://zknives.com/knives/steels/thyrodur2363.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
Sparta,Sparta,https://zknives.com/knives/steels/sparta.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
Air Hard,Air Hard,https://zknives.com/knives/steels/air_hard.shtml,"manufacturer,standard,w,co,nb,n,analogues",zknives_mismatches.csv,link
