value,count
DIN 1.3207,1
DIN 1.3208,1
DIN 1.3211,1
DIN 1.3222,1
DIN 1.3241,1
DIN 1.3243,1
DIN 1.3244,1
DIN 1.3245,1
DIN 1.3246,1
DIN 1.3247,1
DIN 1.3249,1
DIN 1.3255,1
DIN 1.3257,1
DIN 1.3265,1
DIN 1.3288,1
DIN 1.3292,1
DIN 1.3294,1
DIN 1.3302,1
DIN 1.3316,1
DIN 1.3318,1
DIN 1.3325,1
DIN 1.3326,1
DIN 1.3327,1
DIN 1.3333,1
DIN 1.3336,1
DIN 1.3339,1
DIN 1.3340,1
DIN 1.3341,1
DIN 1.3342,1
DIN 1.3343,1
DIN 1.3344,1
DIN 1.3345,1
DIN 1.3346,1
DIN 1.3347,1
DIN 1.3348,1
DIN 1.3351,1
DIN 1.3352,1
DIN 1.3355,1
DIN 1.3361,1
DIN 1.3377,1
DIN 1.3391,1
DIN 1.3392,1
DIN 1.3393,1
DIN 1.3394,1
DIN 1.3395,1
DIN 1.3397,1
DIN 1.3401,1
DIN 1.3501,1
DIN 1.3503,1
DIN 1.3505,1
DIN 1.3514,1
DIN 1.3518,1
DIN 1.3520,1
DIN 1.3536,1
DIN 1.3537,1
DIN 1.3539,1
DIN 1.3551,1
DIN 1.3553,1
DIN 1.3563,1
DIN 1.3565,1
DIN 1.3813,1
DIN 1.3964,1
DIN 1.3990,1
DIN 1.4000,1
DIN 1.4002,1
DIN 1.4005,1
DIN 1.4006,1
DIN 1.4007,1
DIN 1.4013,1
DIN 1.4015,1
DIN 1.4016,1
DIN 1.4021,1
DIN 1.4024,1
DIN 1.4028,1
DIN 1.4031,1
DIN 1.4037,1
DIN 1.4057,1
DIN 1.4062,1
DIN 1.4108,1
DIN 1.4109,1
DIN 1.4110,1
DIN 1.4111,1
DIN 1.4112,1
DIN 1.4113,1
DIN 1.4116,1
DIN 1.4122,1
DIN 1.4123,1
DIN 1.4125,1
DIN 1.4153,1
DIN 1.4162,1
DIN 1.4197,1
DIN 1.4301,1
DIN 1.4303,1
DIN 1.4305,1
DIN 1.4306,1
DIN 1.4307,1
DIN 1.4310,1
DIN 1.4311,1
DIN 1.4319,1
DIN 1.4333,1
DIN 1.4362,1
DIN 1.4372,1
DIN 1.4373,1
DIN 1.4401,1
DIN 1.4404,1
DIN 1.4410,1
DIN 1.4419,1
DIN 1.4424,1
DIN 1.4435,1
DIN 1.4436,1
DIN 1.4438,1
DIN 1.4460,1
DIN 1.4462,1
DIN 1.4466,1
DIN 1.4477,1
DIN 1.4482,1
DIN 1.4501,1
DIN 1.4507,1
DIN 1.4510,1
DIN 1.4512,1
DIN 1.4521,1
DIN 1.4528,1
DIN 1.4529,1
DIN 1.4535,1
DIN 1.4539,1
DIN 1.4541,1
DIN 1.4547,1
DIN 1.4550,1
DIN 1.4563,1
DIN 1.4565,1
DIN 1.4571,1
DIN 1.4658,1
DIN 1.4662,1
DIN 1.4713,1
DIN 1.4731,1
DIN 1.4742,1
DIN 1.4762,1
DIN 1.4828,1
DIN 1.4833,1
DIN 1.4835,1
DIN 1.4845,1
DIN 1.4876,1
DIN 1.4948,1
DIN 1.4959,1
DIN 1.5024,1
DIN 1.5026,1
DIN 1.5029,1
DIN 1.5634,1
DIN 1.6354,1
DIN 1.6511,1
DIN 1.6565,1
DIN 1.6580,1
DIN 1.7003,1
DIN 1.7006,1
DIN 1.7035,1
DIN 1.7039,1
DIN 1.7045,1
DIN 1.7102,1
DIN 1.7103,1
DIN 1.7140,1
DIN 1.7145,1
DIN 1.7176,1
DIN 1.7177,1
DIN 1.7223,1
DIN 1.7226,1
DIN 1.7227,1
DIN 1.7228,1
DIN 1.7238,1
DIN 1.7241,1
DIN 1.7701,1
DIN 1.7707,1
DIN 1.7709,1
DIN 1.7784,1
DIN 1.8159,1
DIN 1.8161,1
DIN 1.8404,1
DIN 1.8509,1
DIN 2.4360,1
DIN 2.4375,1
DIN 2.4618,1
DIN 2.4631,1
DIN 2.4632,1
DIN 2.4660,1
DIN 2.4663,1
DIN 2.4668,1
DIN 2.4816,1
DIN 2.4856,1
DIN 2.4858,1
DIN 30CrMo4,1
DIN 34CrMoS4,1
DIN X100CRMOV5,1
DIN X100KUCRMOV51,1
DIN X102CRMO17,1
DIN X105CRMO17,1
DIN X110CRMOV15,1
DIN X120CR12,1
DIN X12F1,1
DIN X13T6,1
DIN X150CRMOVCO12,1
DIN X155CRVMO121,1
DIN X15TN,1
DIN X15TNF,1
DIN X160CRMOV12,1
DIN X160CRMOV121,1
DIN X165CRCOMO12,1
DIN X165CRMOV12,1
DIN X169CRMV12,1
DIN X1F,1
DIN X200C12,1
DIN X200CM2,1
DIN X200CR12,1
DIN X20CR13,1
DIN X210CM2,1
DIN X210CR12,1
DIN X210CRW12,1
DIN X21CR13,1
DIN X38CR13,1
DIN X38CRV14,1
DIN X39CR13,1
DIN X40CR13,1
DIN X40CR14,1
DIN X40CRSIMO10,1
DIN X42CR13,1
DIN X45CR13,1
DIN X45CRMOV15,1
DIN X45NICRMO4,1
DIN X46CR13,1
DIN X50CRMOV15,1
DIN X50CRMOW911,1
DIN X55CRMO14,1
DIN X55CRMOV15,1
DIN X60CRWV7,1
DIN X63CRMOV51,1
DIN X64CRMO14,1
DIN X65CRMO14,1
DIN X6CRAL13,1
DIN X6VF,1
DIN X70CRMO15,1
DIN X90CRMOC18,1
DIN X90CRMOV18,1
DIN X91CRMOV18,1
DIN X96CRMOV12,1
DKD12,1
DM,1
DM1,1
DMO5,1
DMo5Co,1
DMo5V,1
DMo9V,1
DNH75,1
DNO10,1
DRX,1
DS Special,1
DSR1K2,1
DSR20,1
DSR20HA,1
DTC,1
DTC-AR,1
Darwin #1,1
Deward,1
Diamond SV,1
Diamond-S,1
Diecrat,1
Diehard Standard,1
Dimonant Hicrom,1
Dominial,1
Dominial CH,1
Dorrenberg,1
DuraTech 9,1
DuraTech Pyrovan HC,1
DuraTech Xtreme,1
DureX,1
Dynamax,1
E #6,1
E Corsair XL,1
E Crusader XL,1
E. Double Six M-2XL,1
E. Tatmo XL,1
EG2,1
EK81,1
ELB Spezial,1
EM1,1
EM2,1
EM3:2,1
EM4,1
EM42,1
EM7,1
EN -47,1
EN 19,1
EN 24,1
EN 31,1
EN 42,1
EN 43,1
EN 45,1
EN 8,1
EN 9,1
EP67,1
EPM,1
EPS52,1
EPS62,1
ES120K,1
ES120K ESR,1
ES275K ESR,1
ES50S,1
ES50SW,1
ES60S,1
ES65S,1
ES70S,1
ESC,1
ESS,1
ESSSpez,1
ESV2,1
EZ-Die,1
Electrite Dynamax,1
Electrite Tatmo XL,1
Excelo,1
Exldie,1
Exocut,1
Extra Carbon,1
Extra RCC,1
Extra-Edel10S,1
Ezh Special,1
F.3404,1
F.520S,1
F65,1
FAX18,1
FAX31,1
FCC-66,1
FCC-EZ,1
FM38V,1
FM72,1
FM78,1
FMP200,1
FMP338,1
Falcon 6&4,1
Formadur 2083,1
Formadur 2361,1
Formadur 2711,1
Four Star,1
Fram Die,1
G1 Special SVL,1
GB/T 30Cr13,1
GB/T 30CrMo,1
GB/T 40Cr13,1
GB/T 50Mn,1
GB/T 9943-2008,1
GB/T 9Cr18,1
GB/T GB/T 1220-2007,1
GC15,1
GFA,1
GGD-D2,1
GGD-D6,1
GGD-M2,1
GGD-O1,1
GGD-S1,1
GKS,1
GKS-Spezial,1
GO3,1
GO31,1
GOA,1
GOST 03Х17Н13М2,1
GOST 08Х17Н13М2,1
GOST 08Х17Н13М2Т,1
GOST 08Х18Н10,1
GOST 100Х13М,1
GOST 10Х13,1
GOST 10Х17Н13М2Т,1
GOST 110Х18,1
GOST 110Х18М,1
GOST 110Х18МШД,1
GOST 11Х4В2МФ3С2,1
GOST 12Х1,1
GOST 12Х13,1
GOST 12Х17,1
GOST 12Х18Н10Е,1
GOST 12Х18Н9,1
GOST 15Х17Н7,1
GOST 20H13,1
GOST 20Х13,1
GOST 20Ч13,1
GOST 30Х13,1
GOST 30ХМА,1
GOST 35ХМ,1
GOST 35ЧМ,1
GOST 38Х2Н2МА,1
GOST 3Х3М3Ф,1
GOST 40Х10С2М,1
GOST 40Х13,1
GOST 40Х16М,1
GOST 40Ч13,1
GOST 45Х2Н4МА,1
GOST 45Ч2Н4МА,1
GOST 4Х2ВС,1
GOST 4Х5МФ1С,1
GOST 4Х5МФС,1
GOST 50Х14МФ,1
GOST 5KhNM,1
GOST 5Х3М2Ф,1
GOST 5ХВ2СФ,1
GOST 60Г,1
GOST 65ГА,1
GOST 65Х13,1
GOST 6ЧВ2С,1
GOST 70Х16МФС,1
GOST 7Х3,1
GOST 85Х4М5Ф2В6Л,1
GOST 8ХФ,1
GOST 90Х4М4Ф2В6Л,1
GOST 95Х18,1
GOST 95Х5ГМ,1
GOST 9Г2Ф,1
GOST 9Х1,1
GOST 9Х2,1
GOST 9Х4М3Ф2АГСТ,1
GOST 9Х5ВФ,1
GOST 9ХВГ,1
GOST 9ХГВФ,1
GOST 9ХФМ,1
GOST P1008,1
GOST P1008R,1
GOST P500,1
GOST P550,1
GOST P552,1
GOST P576,1
GOST P5M,1
GOST P720,1
GOST Н12МФ,1
GOST Н12Ф1,1
GOST Р0М2СФ10,1
GOST Р2М10К8Ф,1
GOST Р2М9,1
GOST Р6М5К5,1
GOST Р9М4К8,1
GOST У10,1
GOST У10-1,1
GOST У12А-1,1
GOST У12А-2,1
GOST У13А-1,1
GOST У13А-2,1
GOST У8-1,1
GOST У8А,1
GOST У8А-1,1
GOST Х12,1
GOST Х121ВМФ,1
GOST Х12ВМ,1
GOST Х12ВМФ,1
GOST Х12МФ,1
GOST Х12МФ4,1
GOST Х12Ф1,1
GOST Х1Ф,1
GOST Х6ВФ,1
GOST Х6Ф4М,1
GPM10,1
GPM2,1
GPM23,1
GPM4,1
GPM42,1
GPM440,1
GPM48,1
GPM7,1
GPM9,1
GPMD2,1
GPMD3,1
GPMD7,1
GS Hand & Heart,1
GS-2080,1
GS1,1
GS3V,1
GS5V,1
GSN,1
GSN+Mo,1
Galahad D,1
Giant M5,1
GigantM9V,1
Grade124,1
Granada Vanadium,1
Grane,1
Graph-Air,1
Gray Diamond,1
Green Label,1
H&R 8,1
H&R Carbon,1
H&R Heading Die,1
H&R K,1
H&R K-2,1
H&R K-3,1
H&R MolyHI,1
H&R No.15,1
H&R No.225,1
H&R No.44,1
H&R No.57,1
H&R No.60,1
H&R No.61,1
H&R No.7,1
H&R Oil Hardening,1
H&R Piston,1
H&R Special Carbon,1
H&R Tungsten Oil Hardening,1
H-9 Double Header,1
H12,1
HAP40,1
HCHC,1
HI-PM31,1
HI-PM38,1
HI-PM38S,1
HICRO 230,1
HM1,1
HM2,1
HM3,1
HM35,1
HMHS,1
HPM2T,1
HPM38,1
HS-105,1
HS-23,1
HS29-XL,1
HS6-5-2-5HC,1
HS6-5-2C,1
HS6-5-2HC,1
HS6-5-3C,1
HS652C,1
HS98M,1
HYC1,1
HYCC,1
HYCV,1
HYM2E,1
HYM3-2,1
HYM42,1
HYM7,1
Halcomb SS Tool,1
Halgraph,1
Halvan,1
Hampden,1
Hardite,1
Hargus,1
Hecla125,1
Hecla15,1
Hecla159,1
Hecla175,1
Hecla67B,1
Hercules,1
Hi-Mo,1
Hi-Shock,1
Hot Form No 3,1
Hotform,1
Huron,1
HuronV,1
Hy-Ten Impact,1
Hypercut,1
ICW,1
ISO HS1-8-1,1
ISO HS100,1
ISO HS2-9-1-8,1
ISO HS2-9-2,1
ISO HS29,1
ISO HS55,1
ISO HS6-5-2,1
ISO HS6-5-2-5,1
ISO HS6-5-3,1
